,Measured,Predicted
0,26,34.045840489988876
1,30,29.336155403308016
2,23,22.77970048953577
3,29,24.84423730391866
4,27,31.047633600529654
5,31,31.556310536989645
6,19,24.733319314291002
7,23,24.564919453670225
8,27,25.55802165295272
9,25,31.619397825366395
10,35,28.857660281588085
11,29,27.440795384911464
12,26,26.215871109110516
13,22,21.714867918106556
14,26,22.525409813949413
15,32,26.916000310455555
16,23,22.5829577731191
17,32,32.15898115968441
18,31,26.979708863478965
19,29,30.340867653483777
20,28,30.34862509741414
21,34,33.22535804735615
22,32,33.42362633693894
23,29,28.247302027730065
24,16,24.79530314275815
25,32,30.37284979733114
26,32,31.563920152420458
