,Measured,Predicted
0,26,28.40580136644224
1,30,29.802167019603935
2,23,20.87738548916984
3,29,25.743878435120685
4,27,31.564924302184245
5,31,32.331568250946916
6,19,22.40680490122935
7,23,23.109230607321198
8,27,26.450969441797675
9,25,31.716004106813283
10,35,30.85190766553099
11,29,26.16375614641634
12,26,26.48019887304084
13,22,20.525530245241974
14,26,25.083419461786583
15,32,27.10974789003826
16,23,22.51849655938146
17,32,32.81577679406378
18,31,28.74766826720597
19,29,31.41274193798749
20,28,27.487306996555205
21,34,30.274941209150242
22,32,29.72952701422433
23,29,29.828166602475186
24,16,24.223329357504426
25,32,29.913003377688458
26,32,34.06588731602312
