"","alpha","MSE"
"1",0.01,24.9097980442723
"2",0.03,24.3089611610437
"3",0.05,23.1060891332023
"4",0.07,22.3252698468537
"5",0.09,21.9512975356952
"6",0.1,21.8434624513616
"7",0.3,24.6178653994458
"8",0.5,24.4224965706447
"9",0.7,24.4224965706447
"10",0.9,24.4224965706447
"11",1,24.4224965706447
