,Measured,Predicted
0,26,22.929222608829836
1,30,29.888260189205777
2,23,23.47611427684297
3,29,24.73311897106109
4,27,31.432951381906037
5,31,30.89791526961992
6,19,24.36042471411896
7,23,24.410786092863134
8,27,25.205226481759794
9,25,30.923168127602185
10,35,29.504762440652883
11,29,26.578369781804632
12,26,26.805880419532656
13,22,23.009708157825656
14,26,23.485884475442717
15,32,27.268171277145925
16,23,23.56092840897397
17,32,32.02560550975443
18,31,26.98019532852006
19,29,30.458873181012066
20,28,30.34039787678671
21,34,32.72797512889291
22,32,33.09710474280055
23,29,28.53431415747682
24,16,24.34804354675313
25,32,29.905778542388802
26,32,31.843041174350304
