,Measured,Predicted
0,26,25.71562412051313
1,30,30.748130532066483
2,23,19.971564776966055
3,29,27.800510019239482
4,27,30.709969537597082
5,31,33.651817999477984
6,19,23.070456121700666
7,23,23.831849104125407
8,27,27.475928015326602
9,25,33.09734492692078
10,35,32.52907439846449
11,29,27.53440570567255
12,26,25.874214350807854
13,22,22.297501248071622
14,26,27.73111172138314
15,32,24.4555361450293
16,23,14.404376899447957
17,32,37.302566264731894
18,31,25.591049023554245
19,29,31.820603716940127
20,28,28.876601607767757
21,34,25.712437490958305
22,32,28.940091692716386
23,29,25.708798398785518
24,16,23.284581907035328
25,32,29.542300727972773
26,32,32.66985292433137
