,Measured,Predicted
0,18,25.163816857434878
1,25,26.176514842655465
2,13,15.575139465993626
3,20,21.2682692083102
4,29,26.50638064716467
5,26,28.535862797804818
6,17,15.27510517547007
7,19,17.30341688030716
8,28,20.426572185166425
9,30,26.505214477001626
10,30,28.46448827714861
11,23,21.427435833417334
12,16,22.43049454793196
13,12,15.090962021559992
14,27,18.002743354920153
15,22,22.61117126105861
16,13,17.267892935004156
17,27,30.102923407449424
18,32,24.233216795713794
19,28,27.31922364972546
20,29,22.291412824561277
21,23,29.09219592306712
22,29,26.152085696809763
23,27,24.752676848854918
24,11,17.44499958994271
25,27,27.643190672412693
26,25,31.51929452521388
