,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
620,n022t2,rh,sprs,0.240209639,2.546,Non-Tertiary
648,n022t2,lh,sprs,0.294786692,2.401,Non-Tertiary
5,n028t3,rh,central,0.201385781,1.919,Non-Tertiary
33,n028t3,lh,central,0.250029087,1.874,Non-Tertiary
61,n028t3,rh,ifs,0.175033554,1.855,Non-Tertiary
89,n028t3,lh,ifs,0.212219283,2.248,Non-Tertiary
117,n028t3,rh,imfs_h,0.232558206,1.422,Non-Tertiary
145,n028t3,lh,imfs_h,0.191028222,2.146,Non-Tertiary
173,n028t3,rh,imfs_v,0.163313389,1.586,Non-Tertiary
201,n028t3,lh,imfs_v,0.165096879,1.827,Non-Tertiary
229,n028t3,rh,iprs,0.274967402,2.399,Non-Tertiary
257,n028t3,lh,iprs,0.288916558,2.566,Non-Tertiary
285,n028t3,rh,pimfs,0.133909941,1.728,Tertiary
313,n028t3,lh,pimfs,0.216657639,2.092,Tertiary
341,n028t3,rh,pmfs_a,0.275800943,1.761,Tertiary
369,n028t3,lh,pmfs_a,-0.060829259,1.907,Tertiary
397,n028t3,rh,pmfs_i,0.238742426,2.3,Tertiary
425,n028t3,lh,pmfs_i,0.14450638,2.397,Tertiary
453,n028t3,rh,pmfs_p,-0.251641423,1.934,Tertiary
481,n028t3,lh,pmfs_p,-0.071369357,2.67,Tertiary
509,n028t3,rh,sfs_a,0.081663035,1.716,Non-Tertiary
537,n028t3,lh,sfs_a,0.223982319,2.298,Non-Tertiary
565,n028t3,rh,sfs_p,0.207119986,2.278,Non-Tertiary
593,n028t3,lh,sfs_p,0.226557747,2.068,Non-Tertiary
621,n028t3,rh,sprs,0.269974381,2.376,Non-Tertiary
649,n028t3,lh,sprs,0.229153663,2.293,Non-Tertiary
6,n029t2,rh,central,0.193930626,1.98,Non-Tertiary
34,n029t2,lh,central,0.225383803,2.069,Non-Tertiary
62,n029t2,rh,ifs,0.201714113,2.096,Non-Tertiary
90,n029t2,lh,ifs,0.180567533,2.359,Non-Tertiary
118,n029t2,rh,imfs_h,0.27117312,2.11,Non-Tertiary
146,n029t2,lh,imfs_h,0.311693221,2.601,Non-Tertiary
174,n029t2,rh,imfs_v,0.104940236,2.099,Non-Tertiary
202,n029t2,lh,imfs_v,0.30196926,3.04,Non-Tertiary
230,n029t2,rh,iprs,0.272498071,2.425,Non-Tertiary
258,n029t2,lh,iprs,0.26963976,2.654,Non-Tertiary
286,n029t2,rh,pimfs,-0.003576071,2.168,Tertiary
314,n029t2,lh,pimfs,0.019320492,2.522,Tertiary
342,n029t2,rh,pmfs_a,0.322485149,2.065,Tertiary
370,n029t2,lh,pmfs_a,0.175291643,2.464,Tertiary
398,n029t2,rh,pmfs_i,0.110606126,2.2,Tertiary
426,n029t2,lh,pmfs_i,0.250697613,2.68,Tertiary
454,n029t2,rh,pmfs_p,0.029994925,2.101,Tertiary
482,n029t2,lh,pmfs_p,0.009478675,2.706,Tertiary
510,n029t2,rh,sfs_a,0.143172741,2.113,Non-Tertiary
538,n029t2,lh,sfs_a,0.253366858,2.666,Non-Tertiary
566,n029t2,rh,sfs_p,0.326268226,2.486,Non-Tertiary
594,n029t2,lh,sfs_p,0.103930242,2.57,Non-Tertiary
622,n029t2,rh,sprs,0.27004692,2.488,Non-Tertiary
650,n029t2,lh,sprs,0.267321944,2.45,Non-Tertiary
7,n030t2,rh,central,0.21488145,1.951,Non-Tertiary
35,n030t2,lh,central,0.229346976,2.064,Non-Tertiary
63,n030t2,rh,ifs,0.261015594,2.055,Non-Tertiary
91,n030t2,lh,ifs,0.267645419,2.317,Non-Tertiary
119,n030t2,rh,imfs_h,0.199411541,1.934,Non-Tertiary
147,n030t2,lh,imfs_h,0.208890915,2.214,Non-Tertiary
175,n030t2,rh,imfs_v,0.255210847,2.099,Non-Tertiary
203,n030t2,lh,imfs_v,0.087918401,2.266,Non-Tertiary
231,n030t2,rh,iprs,0.24619022,2.72,Non-Tertiary
259,n030t2,lh,iprs,0.265152693,2.637,Non-Tertiary
287,n030t2,rh,pimfs,0.208877727,1.881,Tertiary
315,n030t2,lh,pimfs,0.042708457,2.192,Tertiary
343,n030t2,rh,pmfs_a,-0.224787042,2.542,Tertiary
371,n030t2,lh,pmfs_a,-0.08458782,2.943,Tertiary
399,n030t2,rh,pmfs_i,0.044811435,1.818,Tertiary
427,n030t2,lh,pmfs_i,-0.005662895,2.145,Tertiary
455,n030t2,rh,pmfs_p,-0.25872606,2.65,Tertiary
483,n030t2,lh,pmfs_p,0.198082134,2.211,Tertiary
511,n030t2,rh,sfs_a,0.27795431,2.495,Non-Tertiary
539,n030t2,lh,sfs_a,0.148630321,2.369,Non-Tertiary
567,n030t2,rh,sfs_p,0.20734483,2.54,Non-Tertiary
595,n030t2,lh,sfs_p,0.117789574,2.562,Non-Tertiary
623,n030t2,rh,sprs,0.242761761,2.433,Non-Tertiary
651,n030t2,lh,sprs,0.315389782,2.44,Non-Tertiary
8,n032t2,rh,central,0.197912678,1.93,Non-Tertiary
36,n032t2,lh,central,0.199277416,2.073,Non-Tertiary
64,n032t2,rh,ifs,0.39943397,2.356,Non-Tertiary
92,n032t2,lh,ifs,0.240631446,2.595,Non-Tertiary
120,n032t2,rh,imfs_h,0.326246798,2.458,Non-Tertiary
148,n032t2,lh,imfs_h,0.282648444,2.648,Non-Tertiary
176,n032t2,rh,imfs_v,0.121670298,2.095,Non-Tertiary
204,n032t2,lh,imfs_v,0.145276964,2.458,Non-Tertiary
232,n032t2,rh,iprs,0.18835412,2.64,Non-Tertiary
260,n032t2,lh,iprs,0.199970931,2.744,Non-Tertiary
288,n032t2,rh,pimfs,0.071118735,2.407,Tertiary
316,n032t2,lh,pimfs,0.059335463,2.435,Tertiary
344,n032t2,rh,pmfs_a,-0.039665941,2.731,Tertiary
372,n032t2,lh,pmfs_a,0.151615858,2.639,Tertiary
400,n032t2,rh,pmfs_i,-0.224909022,2.926,Tertiary
428,n032t2,lh,pmfs_i,0.265957773,2.79,Tertiary
456,n032t2,rh,pmfs_p,0.239547238,2.525,Tertiary
